time,X,Y,Z
18.81,5.818821178956477,-0.0037969618918194423,-80.31159321507303
18.86,5.848268820619058,-0.003835915691589735,-80.31243996272337
18.91,5.877716462312723,-0.0038750690702834445,-80.3132867075351
18.96,5.907164104008333,-0.003914422023974736,-80.31413344950829
19.01,5.936611745678712,-0.003953974548746795,-80.31498018864296
19.06,5.966059387298502,-0.003993726640691498,-80.31582692493917
19.11,5.995507028844041,-0.004033678295909099,-80.31667365839697
19.16,6.024954670293237,-0.004073829510507933,-80.3175203890164
19.21,6.054402311625461,-0.0041141802806041235,-80.31836711679748
19.25,6.083844742554737,-0.004154723015704993,-80.31921384044702
19.31,6.113262527459151,-0.004195429296144018,-80.3200605568655
19.36,6.142642740351999,-0.004236280092630436,-80.32090726572541
19.41,6.171981026464974,-0.004277268711532144,-80.3217539668881
19.46,6.201273054508732,-0.00431838801625789,-80.32260065925001
19.51,6.230514845111771,-0.00435963160956387,-80.32344734300578
19.56,6.259706804626553,-0.004401000092429554,-80.32429401977043
19.6,6.288851318697095,-0.004442496579846904,-80.32514069037312
19.66,6.317951310013796,-0.0044841245347625085,-80.32598735513602
19.71,6.347009757085468,-0.004525888016692343,-80.32683401499581
19.76,6.376029527410388,-0.004567791260450792,-80.32768067117621
19.81,6.405013323969413,-0.004609837795564694,-80.32852732423642
19.85,6.433963673569619,-0.004652030700607042,-80.32937397434317
19.91,6.462884263957712,-0.004694375261998081,-80.33022062234565
19.96,6.491781818843298,-0.004736881601972501,-80.33106726954904
20.01,6.5206612567590385,-0.004779556789419078,-80.33191391628061
20.06,6.549535356319126,-0.0048224202456202655,-80.33276056488998
20.11,6.578430671821353,-0.0048655134486547975,-80.33360721915466
20.16,6.607357958284259,-0.004908853164700218,-80.33445387834946
20.21,6.636319311708039,-0.004952442619012061,-80.33530054224987
20.26,6.665313951493463,-0.0049962810552984585,-80.33614721076816
20.31,6.69434014433083,-0.005040365830559836,-80.33699388266349
20.36,6.723395899092167,-0.005084693339588108,-80.33784055620548
